StrNumber|45|Name|PACARITAMBO II|item.StockingLocationID|27deff68-15f4-4c14-8009-392ce255b701
StrNumber|46|Name|OPEN PLAZA PIURA|item.StockingLocationID|0c050e21-d2fe-48e7-a806-78456e7b524e
StrNumber|47|Name|OFICINAS RIVERA NAVARRETE|item.StockingLocationID|dd14d5e7-4cab-4cfb-99da-a5aa2bc2bdc0
StrNumber|48|Name|OFICINAS PALMERAS BASADRE|item.StockingLocationID|eb99b438-b598-40be-9a86-e60b9882dbf2
StrNumber|49|Name|OF.PALMERAS BASADRE ANDAMIOS|item.StockingLocationID|66504ead-0116-4425-9887-8fff7bb1992b
StrNumber|50|Name|OCEAN REEF|item.StockingLocationID|215c17f9-bc4c-460f-a231-72372cf2d5cc
StrNumber|51|Name|OCEAN PLACE|item.StockingLocationID|ee4029ec-b6aa-4242-94b1-d3ac145686d7
StrNumber|52|Name|OCEAN HOUSE II|item.StockingLocationID|8284442a-7f7f-4049-87aa-0544dac22ba0
StrNumber|53|Name|NUEVOS ACCESOS IMPALA|item.StockingLocationID|ef5fcc82-54f7-4f3c-98b8-0254232bd1f0
StrNumber|54|Name|NUEVOS ACCESOS ANDAMIOS|item.StockingLocationID|d7065306-9709-4a34-b16e-ca9cdb771b62
StrNumber|55|Name|MUROS ANCLADOS LARCO|item.StockingLocationID|970b82ae-b649-4b1b-8eac-b84cf1691612
StrNumber|56|Name|MUROS ANCLADOS C.C. LA MOLINA|item.StockingLocationID|774b38a0-0d99-4ef4-b88f-b52668a0af92
StrNumber|57|Name|MUELLE NORTE EDIFICIOS|item.StockingLocationID|105e3dad-e753-471f-a39b-3d3dda9089a5
StrNumber|58|Name|MINERA BARRICK|item.StockingLocationID|332d5668-7ac2-4bd8-9d64-0979fba0bcee
StrNumber|59|Name|MALECON GRAU|item.StockingLocationID|fe0ecb44-e74a-4dfd-a299-0ecdc4afe105
StrNumber|60|Name|MALECON CISNEROS|item.StockingLocationID|ad2798f8-e59b-4a3f-8b87-adb9e4630649
StrNumber|61|Name|LOS PRADOS DE CHACLACAYO|item.StockingLocationID|d79a2c17-8950-4385-9f29-68504ed73979
StrNumber|62|Name|la palmira05|item.StockingLocationID|e0856d4a-3c52-4e46-8a03-ded3aaee1f8d
StrNumber|63|Name|LA PALMIRA04|item.StockingLocationID|b5ffd305-79a5-4e39-9b6b-ec2c8a867e1b
StrNumber|64|Name|LA PALMIRA N|item.StockingLocationID|ae9f1be0-73ec-4652-a7f9-088817aacb38
StrNumber|65|Name|la palmira l|item.StockingLocationID|06bcd5d6-900e-4600-87f8-e75f610edf56
StrNumber|66|Name|LA PALMIRA 04|item.StockingLocationID|7fbaceb9-f3e9-4319-8ee6-410445afb731
StrNumber|67|Name|La Palmira 03|item.StockingLocationID|ea9432c0-6248-4260-a823-eb7452bfb44f
StrNumber|68|Name|la palmira 02|item.StockingLocationID|db502269-45e5-4e7c-bbd2-1fe8d43a8e9f
StrNumber|69|Name|la palmira 01|item.StockingLocationID|ecce365b-f7ef-4b16-9b7b-bd7c16326d7f
StrNumber|70|Name|la almira|item.StockingLocationID|45c36d5a-7e23-4140-8c7c-4f64e00d6b9c
StrNumber|71|Name|JUEGO 2|item.StockingLocationID|2eb9c6ba-f611-4274-a556-023a878728fb
StrNumber|72|Name|JAVIER PRADO|item.StockingLocationID|21f4afbd-2387-4ba5-833b-abb344f45e90
StrNumber|73|Name|INPE MOQUEGUA|item.StockingLocationID|3f2bf8cf-9e03-4a78-9c2a-5e3ef7c9eab8
StrNumber|74|Name|IMPALA|item.StockingLocationID|ed0c5a37-51ca-4500-9b9f-866aa97950f4
